Marital status,Course,Daytime/evening attendance,Admission grade,Displaced,Educational special needs,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Academic_success 
single,9670,daytime,122.9,No,No,No,Male,No,20,No,11.5,13,Dropout
single,9500,daytime,137.5,No,No,Yes,Male,No,19,No,13.82857143,13.82857143,Graduate
single,9853,daytime,140.2,Yes,No,Yes,Female,No,18,No,11,11.25,Dropout
single,9500,daytime,118.8,No,No,Yes,Male,No,24,No,13.3,13.3,Graduate
single,9003,daytime,134.3,No,No,Yes,Male,No,25,No,11,11.75,Dropout
single,171,daytime,137.6,Yes,No,Yes,Female,Yes,20,No,0,0,Graduate
single,9003,daytime,140,No,No,Yes,Male,No,43,No,12.875,12.14285714,Dropout
single,9085,daytime,143.2,No,No,Yes,Female,No,19,No,14.4,13.2,Graduate
single,9147,daytime,117.9,No,No,Yes,Female,Yes,20,No,12.9,12.36363636,Graduate
single,9500,daytime,121.2,No,No,Yes,Female,No,19,No,13.47,13.32625,Graduate
single,9500,daytime,138,No,No,Yes,Male,No,28,No,14.11428571,15.91111111,Dropout
single,9773,daytime,131.7,Yes,No,Yes,Male,No,18,No,12.83333333,13.28571429,Graduate
married,9773,daytime,132,No,No,Yes,Male,No,43,No,11.75,0,Dropout
single,9254,daytime,133.3,Yes,No,Yes,Female,No,19,No,11.5,11,Dropout
single,9853,daytime,106,Yes,No,Yes,Female,No,21,No,13,12.5,Graduate
single,9773,daytime,114.8,Yes,Yes,Yes,Female,No,19,No,12.25,11,Graduate
married,9119,daytime,145.4,No,No,Yes,Male,No,40,No,10.66666667,12.5,Dropout
single,9070,daytime,128,Yes,No,Yes,Female,Yes,19,No,14,13.125,Graduate
single,9003,daytime,150,No,No,Yes,Male,No,25,No,12.42857143,10.85714286,Dropout
married,9500,daytime,100,No,No,Yes,Male,No,33,No,13.06,0,Dropout
single,9147,daytime,131.8,Yes,No,Yes,Female,Yes,19,No,10.5,13.33333333,Dropout
single,8014,evening,133.4,No,No,Yes,Female,Yes,21,No,11.5,13.28571429,Graduate
single,9670,daytime,114.6,Yes,No,No,Female,No,18,No,12,10.75,Dropout
divorced,9991,evening,127.6,No,No,Yes,Male,No,29,No,0,0,Graduate
single,9853,daytime,134.8,Yes,No,Yes,Female,No,18,No,0,0,Dropout
single,9085,daytime,126.9,No,No,Yes,Female,No,24,No,13.28571429,12.875,Graduate
married,9991,evening,119.9,No,No,Yes,Female,No,50,No,10.5,11,Dropout
single,9500,daytime,136.3,Yes,No,Yes,Male,No,18,No,12.8875,12.8875,Graduate
single,9853,daytime,126.9,Yes,No,Yes,Female,Yes,19,No,13.28571429,14.42857143,Graduate
divorced,9991,evening,119,Yes,No,No,Male,No,55,No,0,0,Dropout
divorced,9773,daytime,130,No,No,No,Male,No,55,No,11.4,12.4,Dropout
single,9556,daytime,121.3,Yes,No,Yes,Female,Yes,19,No,13.38571429,13.3875,Graduate
single,9070,daytime,126.8,No,No,Yes,Female,Yes,18,No,12,11.14285714,Dropout
single,171,daytime,130.4,Yes,No,Yes,Male,No,19,No,0,0,Graduate
single,9238,daytime,120.2,Yes,No,Yes,Female,Yes,19,No,11.33333333,10.83333333,Graduate
single,9147,daytime,101.8,Yes,No,Yes,Female,No,24,No,10.8,11,Dropout
single,9085,daytime,132.6,Yes,No,Yes,Female,Yes,19,No,13.6,14.6,Graduate
single,9670,daytime,111.6,No,No,Yes,Male,No,35,No,14,0,Dropout
single,9500,daytime,132.8,Yes,No,Yes,Female,Yes,18,No,11.72142857,11.72142857,Graduate
married,9147,daytime,124.4,No,No,Yes,Female,No,19,No,11.25,11.71428571,Graduate
single,9147,daytime,114.4,No,No,Yes,Male,No,22,No,0,11.5,Dropout
single,9070,daytime,131.1,No,No,Yes,Female,Yes,19,No,13.4,12.83333333,Graduate
single,9773,daytime,146,No,No,Yes,Female,No,20,No,11,13.16666667,Graduate
single,9130,daytime,140,Yes,No,No,Female,No,20,No,12,11,Dropout
single,9070,daytime,134,Yes,No,Yes,Female,Yes,22,No,10.8,12.8,Graduate
single,9500,daytime,117.1,Yes,No,Yes,Female,Yes,18,No,14.57285714,14.95555556,Graduate
divorced,9147,daytime,114,No,No,No,Male,No,29,No,13,0,Dropout
single,9556,daytime,105,No,No,Yes,Male,No,25,No,12.95,13.125,Dropout
single,9070,daytime,120.4,Yes,No,Yes,Female,No,18,No,11.8,10.4,Graduate
single,9670,daytime,119.6,Yes,No,Yes,Male,No,18,No,13.625,14.28571429,Graduate
single,9130,daytime,150,Yes,No,No,Female,No,22,No,12.66666667,0,Dropout
single,9500,daytime,132.5,Yes,No,Yes,Female,Yes,19,No,14.36,14.36,Graduate
married,9991,evening,138.7,No,No,Yes,Male,No,43,No,13.8,13.66666667,Graduate
single,9003,daytime,160,Yes,No,Yes,Female,No,20,No,13.57142857,12.71428571,Graduate
married,9991,evening,130.2,No,No,Yes,Female,Yes,39,No,12.33333333,10,Graduate
single,9119,daytime,133.5,Yes,No,Yes,Male,No,21,No,13,12.6,Graduate
married,9130,daytime,160,No,No,Yes,Male,No,31,No,12,10,Dropout
single,9003,daytime,150,No,No,Yes,Female,No,35,No,14,13.1,Graduate
married,9670,daytime,130,No,No,Yes,Female,No,30,Yes,0,0,Dropout
single,9119,daytime,115,No,No,Yes,Male,No,30,No,15,13.5,Dropout
single,9670,daytime,123.4,Yes,No,Yes,Female,Yes,18,No,13.25,14.14285714,Graduate
married,9500,daytime,105.7,Yes,No,Yes,Female,No,27,No,13.81375,13.81375,Graduate
single,9070,daytime,122.2,No,No,Yes,Female,No,20,No,13,12.27272727,Graduate
married,9500,daytime,129,Yes,No,Yes,Female,No,36,No,11.3,11.3,Graduate
single,9991,evening,126.3,No,No,Yes,Female,Yes,26,No,0,0,Dropout
